CSKU,1C code,Item name,in case,coif,arge_group,category,brand,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22
737942,81693797,ARIEL LS Lavander 10x1.5Kg,1.00000,1.00000,,LS,Ariel,,,,,,,,,,,,,,0.56870,0.22470,0.08800,0.41360,0.27380,0.40040,0.33430,0.18230,0.27660,0.30890,0.53700,0.05170,0.14890,0.17560,0.20760,0.32700,0.14628,0.28960,0.25360,0.16900,0.25010,0.26490,0.26500,0.08420,0.19090,0.27810,0.06360,,-0.00010,,,-0.00030,0.00020,,-0.00010,,,,,-0.00030,,,,,
737801,81220283,ARIEL LS Lenor 10x1.5Kg,1.00000,1.00000,,LS,Ariel,0.30366,0.48798,0.65061,0.47385,0.67275,0.81850,1.18140,0.57970,0.94088,0.59087,0.45440,0.88640,0.07520,0.44790,0.55158,0.40528,0.74060,0.53940,0.86090,0.91910,0.58718,0.58900,0.62022,0.92930,0.32960,0.55430,0.65640,0.50630,0.64200,0.56820,0.85330,0.79910,0.75330,0.47960,0.60630,0.99680,0.21490,0.44650,0.21830,0.02620,,,,-0.00010,,,,,,,-0.00010,,-0.00010,,,,,
700180,81616649,ARIEL LS COLOR 22x450gr,22.00000,1.00000,,LS,Ariel,0.36750,0.43464,0.76002,0.51552,0.70512,1.03968,1.16238,0.75732,1.09338,0.40236,0.50241,0.83826,0.10002,0.88197,0.56184,0.45894,0.80550,0.77736,0.94620,0.81474,0.50076,0.77877,0.98952,0.66162,0.17334,0.49659,0.49512,0.35028,0.43281,0.49923,0.57501,0.60765,0.64065,0.25827,0.34512,0.64359,0.14514,0.33729,0.20877,0.25803,0.16842,0.09294,0.07839,0.06285,0.05550,,-0.00003,-0.00036,,,-0.00003,,,-0.00006,-0.00006,,,
737802,81220651,ARIEL LS COLOR 10x1.5Kg,1.00000,1.00000,,LS,Ariel,0.50625,0.68238,1.01592,0.70794,0.99441,1.51520,1.54810,1.03190,1.32950,0.94880,0.71610,1.01200,0.11470,0.79070,0.51608,0.45108,0.95940,0.71890,1.07450,1.16150,0.73098,0.69280,0.87982,1.21830,0.31830,0.70060,1.02000,0.71820,0.84720,0.60380,1.13290,1.00910,0.89500,0.67540,1.11500,1.43390,0.33590,0.68630,0.01140,0.12380,-0.00020,-0.00450,-0.00020,,,,,,,,,,-0.00060,,,,,0.11750
739016,81568566,ARIEL LS COLOR 6x2.5Kg RUS,6.00000,1.00000,1-3 kg,LS,Ariel,0.27083,0.36050,0.60050,0.46033,0.47367,0.74620,0.79900,0.65540,0.67107,0.67580,0.43160,0.68220,0.10940,0.52700,0.36300,0.30900,0.59740,0.41920,0.52340,0.76880,0.33920,0.35320,0.67640,0.60700,0.29500,0.56800,1.07560,0.61860,0.70660,1.02000,0.88420,0.90520,0.74960,0.49920,0.88440,1.26620,0.33460,0.41340,0.02840,0.11140,,-0.00100,,,,,,,,,,0.40933,0.26467,0.09667,0.21700,0.00650,,
703934,81568567,ARIEL LS COLOR 1x5Kg,1.00000,1.00000,,LS,Ariel,0.23576,0.38828,0.64669,0.46387,0.47386,0.91209,0.73027,0.59474,0.53680,1.05146,0.34342,0.59374,0.05628,0.50549,0.34865,3.26773,2.87745,2.79254,0.19481,0.56810,0.17050,0.83750,0.57542,0.83483,0.04362,0.71096,0.84682,0.55811,0.76523,1.49617,1.14152,0.94006,0.71062,0.44855,0.69730,0.99134,0.15784,0.41026,0.45521,0.76224,-0.00733,,,-0.00033,,,,,,,,,,,-0.00067,,,
739160,81738748,ARIEL LS COLOR B15 1X9KG ORN CCAR,1.00000,1.00000,,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19260,0.01740,,0.00240,0.00060,,0.00060,,,,,,,,,,,,,,,,,,
739145,81738746,ARIEL LS WHITE ROSE B15 1X9KG ORN CCAR,1.00000,1.00000,,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16380,0.04800,,,,,,,,,,,,,,,,,,,,,,,
737767,81633261,ARIEL LQ Color 4x0.975L,4.00000,1.00000,liquid,LQ,Ariel,0.00825,0.01830,0.06495,0.02205,0.02535,0.17070,0.06570,0.10920,0.06765,0.09435,0.07890,0.09495,0.03900,0.08895,0.09000,0.10320,0.11865,0.02730,0.16320,0.13065,0.09375,0.14895,0.09930,0.13560,0.06090,0.10500,0.11025,0.07680,0.16455,0.11640,0.08595,0.13305,0.12405,0.08340,0.05385,0.01155,0.00015,,,,0.11325,0.20970,0.14475,0.12945,0.04095,0.00030,0.00195,,,,,-0.00060,,-0.00015,-0.00030,,,
703824,81758827,ARIEL LQ MS 5x0.975L,5.00000,1.00000,liquid,LQ,Ariel,0.01245,0.02130,0.03435,0.02535,0.04035,0.14115,0.03135,0.06885,0.04665,0.04320,0.04185,0.04920,0.01200,0.04755,0.03480,0.03285,0.05310,0.05115,0.07500,0.08085,0.04320,0.08835,0.06630,0.07425,0.03105,0.06000,0.06135,0.04005,0.10365,0.04710,0.05400,0.08190,0.07620,0.05040,0.05700,0.08835,0.03480,0.11550,0.09075,0.08475,0.12000,0.47400,0.17985,0.13935,0.16680,0.16875,0.12915,0.17430,0.08415,0.13440,0.16365,0.06615,-0.00060,-0.00075,-0.00675,-0.00180,-0.00120,-0.00210
738928,81764882,ARIEL LQ AXE OXI 4X1.43L,4.00000,1.00000,liquid,LQ,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01100,0.09922,0.15664
737980,81679830,ARIEL LQ BABY 4X1.3L/20SC-POS-CAU,4.00000,1.00000,liquid,LQ,Ariel,,,,,,,,,,0.01460,0.04680,0.03400,0.00540,0.05530,0.02260,0.02800,0.01960,0.02540,0.03140,0.03660,0.01800,0.02640,0.02280,0.02920,0.00772,0.03011,0.02259,0.02629,0.02629,0.02629,,,,0.01620,0.01980,0.03200,0.00880,0.03380,0.01805,0.02860,0.02440,0.05480,0.04540,0.04060,0.01260,0.00540,0.00200,-0.00120,0.10560,0.06520,0.07020,0.04700,0.14800,0.13220,0.00160,0.01620,0.06380,0.16920
700096,81754022,ARIEL HS MS 11x450gr RUS,11.00000,1.00000,hs,HS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00177,0.11253,0.07665,0.04092,0.38241,0.11799,0.04986,0.13965,0.09081,0.04458,0.04686,0.04296,0.03690,0.04929,0.07620,0.10329,0.08379,0.08889
738312,81450004,ARIEL LS Color 11x450gr RUS,11.00000,1.00000,400-450 gr,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02028,0.16032,0.16641,0.21894,0.25008,0.37836,1.01739,0.23439,0.41466,0.87015,0.05997,0.30681,0.22377,0.19803,0.41130,0.20283,0.16089,0.32862,0.18330,0.00459
738317,81727500,ARIEL LS COL 10X1.5KG VO EE,1.00000,1.00000,1-3 kg,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95750,0.94380,3.72440,0.60850,1.09370,2.09890,0.30020,0.41340,0.13790,0.40340,0.56280,0.00580,0.73020,2.14980,1.26350,0.06780,0.22430,0.52070,1.46770
738321,,ARIEL LS TOL COL 6X3KG VO EE,6.00000,1.00000,1-3 kg,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18383,0.20483,0.09450,0.09233,0.16917,0.12217,0.72333,-0.00017,-0.00017,,,,0.51917,,0.03000,0.61480,0.06720,0.23100,0.56120
738320,81757074,ARIEL LS COLOR 6x3Kg RUS,6.00000,1.00000,1-3 kg,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25000,,,,,,0.10440,0.70560,0.42700,2.95780,0.21740,0.50740,0.67300,1.34100,0.00300,0.00620,0.00220,-0.00040,0.34760,1.05780,0.57360,0.40980,1.16760,0.39100,0.00880,0.00580
738328,81552308,ARIEL LS Color 4.5Kg RUS,1.00000,1.00000,4 kg & big,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02850,0.13320,0.21570,0.12180,0.10260,1.24080,0.21420,0.19590,0.09390,,0.23910,0.55740,0.52470,0.26640,0.24090,0.00630,0.00780,,-0.00030,-0.00030
739018,81450006,ARIEL LS Lenor-Col 4.5Kg RUS,1.00000,1.00000,4 kg & big,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00060,0.09180,0.07830,0.61410,0.12390,0.04650
738334,81220656,ARIEL LS COLOR 6Kg RUS,1.00000,1.00000,4 kg & big,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03120,0.18840,0.13240,0.12680,0.09720,1.25280,0.00920,0.15360,0.10400,1.98000,0.18840,0.27320,0.02000,0.40600,0.72640,0.25200,-0.01720,0.03280,0.16880,0.08960
738338,81757076,ARIEL LS COLOR 9Kg RUS,1.00000,1.00000,4 kg & big,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32820,0.69840,0.11880,0.06720,0.02100
738315,81450001,ARIEL LS MS 11x450gr RUS,11.00000,1.00000,400-450 gr,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01332,0.12390,0.14844,0.20460,0.18735,0.43239,0.89943,0.21528,0.20331,0.49134,0.08199,0.39108,0.26475,0.16626,0.41088,0.24573,0.18129,0.31722,0.02991,0.00153
739155,81727488,ARIEL LS MS 6X2.5KG VO EE,6.00000,1.00000,1-3 kg,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14933,0.18650,0.11917,0.10200,0.17417,0.15617,0.07267,0.00133,-0.00033,,-0.00017,,0.01683,0.47767,0.00783,-0.00083,0.00017,,
738324,81757070,ARIEL LS MS 6X3KG DS EECAR,6.00000,1.00000,1-3 kg,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40120,0.37060,2.33960,0.24520,0.46420,0.84420,1.53440,0.10980,-0.00160,,-0.00080,0.35240,0.70300,0.76900,0.35460,-0.00160,,-0.00120,-0.00120
739154,81450005,ARIEL LS MS 4.5Kg RUS,1.00000,1.00000,4 kg & big,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01890,0.16170,0.08310,0.04770,0.03750,0.86280,0.08340,0.10440,0.17100,0.10500,0.24450,0.44760,0.30720,0.09030,0.33120,0.12360,0.05070,0.42030,-0.00210,-0.00270
738335,81220245,ARIEL LS MS 6Kg RUS,1.00000,1.00000,4 kg & big,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01840,0.17640,0.09080,0.05560,0.07640,0.84520,0.08000,0.12160,0.15960,1.60800,0.00360,0.00760,0.09680,0.38160,0.63520,-0.00480,0.01280,0.05920,0.23240,0.03320
738339,81757073,ARIEL LS MS 9Kg RUS,1.00000,1.00000,4 kg & big,LS,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31500,0.55440,0.09960,0.15900,0.38220
738305,81702123,ARIEL PODS Color 6x12x23.8g,6.00000,1.00000,pods,pods,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,0.01440,0.01584,0.00564,0.00504,0.01692,0.01272,0.01968,0.02484,0.01896,0.01188,0.01728,0.01464,0.02388,0.01740,0.01644,0.01128,0.02604,0.02736,0.03204,0.04224,0.02676,0.03708,0.04896,0.01404,0.02436,0.02796,0.03324,0.04488,0.00060,0.00024,0.00024,0.00048,0.00012
738424,81702136,ARIEL PODS Color 3x30x27g,3.00000,1.00000,pods,pods,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,0.04230,0.03630,0.02580,0.05520,0.07200,0.07110,0.06480,0.00030,0.00030,0.00030,0.05400,0.03030,0.07470,0.06480,,0.06390,0.07410,0.02520,0.05490,0.00090,0.00030,,,,0.02970,0.05700,0.04560,0.09960,0.09300,0.08670,0.02130,0.00030,
738306,81702127,ARIEL PODS MS 6x12x25.2g,6.00000,1.00000,pods,pods,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,0.01320,0.01548,0.00768,0.01296,0.01536,0.00636,0.01908,0.01980,0.01872,0.01656,0.01908,,0.00012,0.01704,0.01152,0.02100,0.02184,0.02052,0.02568,0.03912,0.03132,0.03432,0.03372,0.00204,0.02184,0.02988,0.03396,0.05124,0.05928,0.05292,0.06876,0.07356,0.08244
737796,81702131,ARIEL PODS MS 3x30x25.2g,3.00000,1.00000,pods,pods,Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,0.03360,0.04080,0.02370,0.05070,0.06720,0.03930,0.07590,0.01320,0.00300,,0.04470,0.02550,0.05940,0.04980,0.03990,0.01590,,0.02400,0.05070,0.00030,,,,,0.00210,0.00270,0.01830,0.09360,0.07350,0.07560,0.06210,0.06660,0.07020
703398,81719660,ARIEL PODS MS 3x23x27g,3.00000,1.00000,pods,pods,Ariel,0.02484,0.04186,0.01012,0.00023,0.00138,0.08004,0.05106,0.06049,0.08165,0.06532,0.05428,0.05934,0.02001,0.06118,0.04485,0.03266,0.07613,0.05382,0.07084,0.08211,0.05934,0.08395,0.05175,0.08188,0.04117,0.01242,0.00023,0.00805,0.00920,0.00368,0.00598,0.01081,0.03358,0.02668,0.03427,0.01541,0.00552,0.00897,0.01173,0.00276,0.02944,0.03726,0.01771,0.00690,0.00759,0.00115,0.01679,0.02070,0.01587,0.02507,0.03818,0.01035,0.05750,0.02162,0.01150,0.04324,0.03542,0.05681
703399,81490439,ARIEL PODS Color 3x23x28.8g,3.00000,1.00000,pods,pods,Ariel,0.03358,0.04991,0.01863,0.00069,0.00115,0.10281,0.09637,0.08211,0.09407,0.08556,0.06325,0.06969,0.02737,0.06877,0.00161,,0.00023,,,0.04416,0.05612,0.06417,0.04508,0.05405,0.03358,0.05658,0.04439,0.02300,0.01863,0.02392,0.01357,0.04140,0.07038,0.00598,0.00184,0.00161,,,0.00046,,,,,,,,,,,0.00460,0.01242,0.01173,0.04945,0.03795,0.02484,0.07383,0.08510,0.08257
