sku,code,item_name,in_case,coef,arge_group,category,brand,date,sales,month,year
703941,81568562.0,TIDE LS LEMON 10x1.35 KG,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.14661,Jan,2018
703942,81568563.0,TIDE LS LEMON 6x2.5KG,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.148,Jan,2018
737971,81687038.0,TIDE LS COLOR 22x400gr,22.00000,1.0,400-450 gr,LS,Tide,2018-01-01,0.37734,Jan,2018
703939,81568559.0,TIDE LS COLOR 10x1.35 KG,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.44001,Jan,2018
703940,81568560.0,TIDE LS COLOR 6x2.5KG,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,0.2575,Jan,2018
703913,81568561.0,TIDE LS COLOR 5KG,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,1.34832,Jan,2018
737890,81685645.0,TIDE LS LAVENDER 10x1.35 KG,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738357,81749618.0,TIDE HS AF 11x400gr RUS,11.00000,1.0,hs,LS,Tide,2018-01-01,,Jan,2018
738362,81749599.0,TIDE LS AF 11x450gr RUS,11.00000,1.0,400-450 gr,LS,Tide,2018-01-01,,Jan,2018
738359,81749602.0,TIDE LS Color 11x450gr RUS,11.00000,1.0,400-450 gr,LS,Tide,2018-01-01,,Jan,2018
739152,81722946.0,TIDE LS Color 10x1.2KG RUS,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738363,81749605.0,TIDE LS Color 10x1.5kg RUS,1.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
739151,81749613.0,TIDE LS Color 6x2.5kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
739157,81722968.0,TIDE LS AF 6x2.5kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738365,81193589.0,TIDE LS COLOR 6x3KG RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738366,81201002.0,TIDE LS Lenor+Color 6x3kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738368,81201005.0,TIDE LS AF 6x3kg RUS,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738377,81769353.0,TIDE LS AF 1x6kg RUS,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,,Jan,2018
739403,81201001.0,TIDE LS LAV&BIRCH WATER 6X3KG EECAR,6.00000,1.0,1-3 kg,LS,Tide,2018-01-01,,Jan,2018
738376,81722960.0,TIDE LS COLOR (B15) 1X6KG VO EECAR,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,,Jan,2018
738370,81722954.0,TIDE LS COLOR 1X4.5KG VO EE,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,,Jan,2018
738379,81769355.0,TIDE LS COLOR 1x9kg RUS,1.00000,1.0,4 kg & big,LS,Tide,2018-01-01,,Jan,2018
738353,81720858.0,TIDE PODS Alpine 3x23x22.8g,3.00000,1.0,pods,pods,Tide,2018-01-01,,Jan,2018
738348,81702107.0,TIDE PODS Alpine 6x12x22.8g,6.00000,1.0,pods,pods,Tide,2018-01-01,,Jan,2018
738352,81744706.0,TIDE PODS Color 3x23x22.8g,3.00000,1.0,pods,pods,Tide,2018-01-01,,Jan,2018
738347,81702106.0,TIDE PODS Color 6x12x22.8g,6.00000,1.0,pods,pods,Tide,2018-01-01,,Jan,2018
700922,81251055.0,Lenor Baby.Sens 12x1L,12.00000,1.0,,LQ,Fairy,2018-01-01,0.00042,Jan,2018
703867,81524378.0,Lenor Bouquet 12x930ML /violet,12.00000,1.0,,LQ,Fairy,2018-01-01,0.01108,Jan,2018
703868,81524352.0,Lenor Orchid 12x930ML /yellow,12.00000,1.0,,LQ,Fairy,2018-01-01,0.01824,Jan,2018
700924,81251058.0,Lenor Scand.Spr 12x1L,12.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
738020,81695060.0,Lenor Lavander 12x910ML,12.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
703384,81490991.0,Lenor Garden 12x930ML/red,12.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
703988,81660285.0,Lenor Sea Mineral 12x910ML,12.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
703989,81660283.0,Lenor Sheabutter 12x910ML,12.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
703987,81660287.0,Lenor Silk 12x910ML,12.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
737967,81682465.0,Lenor Garden 6x1.8L,6.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
737969,81660291.0,Lenor Sea Mineral 6x1.785L,6.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
737968,81660289.0,Lenor Sheabutter 6x1.785L,6.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
737970,81660293.0,Lenor Silk 6x1.785L,6.00000,1.0,,LQ,Fairy,2018-01-01,,Jan,2018
703340,81586711.0,Fairy Apple 450ml,21.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.32632,Jan,2018
700677,81087310.0,Fairy Chamomile&Vit.E 500ml,21.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.27352,Jan,2018
700680,81066493.0,Fairy Extra Care 21X500ML,21.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.2894,Jan,2018
703342,81586715.0,Fairy Granate 21x450ml,21.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.226,Jan,2018
703339,81578334.0,Fairy Lemon 450ml,21.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.45142,Jan,2018
703341,81586714.0,Fairy Orange 21x450ml,21.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.20564,Jan,2018
738910,81723371.0,Fairy Lemon 20x750ml,2.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
738913,81723419.0,Fairy Pl-Higiene Lemon 21x500ml,21.00000,1.0,platinium,dishwashing liqud,Fairy,2018-01-01,0.1921,Jan,2018
738912,81723420.0,Fairy Pl-Higiene&Lime 20x750ml,2.00000,1.0,platinium,dishwashing liqud,Fairy,2018-01-01,0.21304,Jan,2018
739182,81742874.0,FAIRY HDW LOTION 21X450ML SENS CAU-CAR,21.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739183,81742875.0,FAIRY HDW LOTION 20X750ML SENS CAU-CAR,2.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739161,81742876.0,FAIRY HDW LOTION 16X1000ML SENS CAU-CAR,16.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
738914,81723422.0,Fairy Lemon 9x1.5L,9.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.18291,Jan,2018
738911,81723408.0,Fairy Apple 9x1.5L,9.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
738909,81475626.0,Fairy Apple 16x1L,16.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.35331,Jan,2018
700679,81118955.0,Fairy Extra Care 1L,1.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.28119,Jan,2018
738908,81475622.0,Fairy Lemon 16x1L,16.00000,1.0,,dishwashing liqud,Fairy,2018-01-01,0.37935,Jan,2018
700687,81743687.0,Fairy Lemon 21x500ml New,21.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
700692,81743690.0,Fairy Apple 21x500ml New,21.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
700685,81743698.0,Fairy Forest Ber 21x500ml New,21.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
738181,81730983.0,Fairy Pure & Clean 21x450ml,21.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739698,,FAIRY HDW APPLE 21X450ML ALHRM CEN/PL,21.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739700,,FAIRY HDW LEMON 21X450ML ALHRM  CEN/PL,21.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739702,,FAIRY HDW POMEGRN 21X450ML ALHRM CEN/PL,21.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739701,,FAIRY HDW APPLE 12X900ML ALHRM CEN,12.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739699,,FAIRY HDW LEMON 12X900ML ALHRM CEN,12.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
700686,81743688.0,Fairy Lemon 10x1 L New,1.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
700691,81743692.0,Fairy Apple 10x1 L New,1.00000,1.0,base,dishwashing liqud,Fairy,2018-01-01,,Jan,2018
739076,81677043.0,Fairy ADW Lemon 5X22,5.00000,1.0,fairy pods,pods,Fairy,2018-01-01,,Jan,2018
737770,81634426.0,Fairy ADW Lemon 5X36,5.00000,1.0,fairy pods,pods,Fairy,2018-01-01,,Jan,2018
737879,81688699.0,Fairy ADW Pl-Lemon 5X16,5.00000,1.0,fairy pods,pods,Fairy,2018-01-01,,Jan,2018
739120,81688700.0,Fairy ADW Pl-Lemon 5X26,5.00000,1.0,fairy pods,pods,Fairy,2018-01-01,,Jan,2018
737964,,Pamp BW Sensitive 12x52,12.00000,1.0,total wipes,wipes,Pampers,2018-01-01,0.03168,Jan,2018
737963,,Pamp BW Fresh 12x52,12.00000,1.0,total wipes,wipes,Pampers,2018-01-01,0.03328,Jan,2018
737867,81688520.0,PAMP Pants S6 3x25,3.00000,1.0,total pants,diapers,Pampers,2018-01-01,,Jan,2018
737864,81688518.0,PAMP Pants S5 3x28,3.00000,1.0,total pants,diapers,Pampers,2018-01-01,,Jan,2018
737863,81692466.0,PAMP Pants S4 3x30,3.00000,1.0,total pants,diapers,Pampers,2018-01-01,,Jan,2018
739303,81561943.0,PAMP NewBaby S1 8*27,8.00000,1.0,total n1,diapers,Pampers,2018-01-01,0.3252,Jan,2018
738025,81680814.0,PAMP GP S3 2x90 6-10 kg,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,,Jan,2018
739307,81680818.0,PAMP GP S4 2x76 9-14 kg,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,,Jan,2018
738026,81680823.0,PAMP GP S4+ 2x70 10-15 kg,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,,Jan,2018
739309,81680827.0,PAMP GP S5 2x64 11-16 kg,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,,Jan,2018
738028,81680831.0,PAMP GP S6 2x56 13-18kg,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,,Jan,2018
737966,81680794.0,PAMP JP S3 2x70,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.25875,Jan,2018
737962,81680796.0,PAMP JP S4 3x62,3.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.55966,Jan,2018
737955,81680801.0,PAMP JP S5 2x54,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.72629,Jan,2018
737946,81680808.0,PAMP JP S6 3x48,3.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.5655,Jan,2018
737947,81087755.0,PAMP S1 NewBaby 4x43,4.00000,1.0,total n1,diapers,Pampers,2018-01-01,0.18586,Jan,2018
737948,81571285.0,PAMP S2 9x17 new,9.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.09095,Jan,2018
737950,81571286.0,PAMP S3 8x15 new,8.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.10317,Jan,2018
737951,81571287.0,PAMP S4 8x13 new,8.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.25611,Jan,2018
737949,81571288.0,PAMP S5 8x11 new,8.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.4174,Jan,2018
737959,81678651.0,PAMP S6 8x10 new,8.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.33598,Jan,2018
737958,81499892.0,PAMP S2 MINI 2x66,2.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.31642,Jan,2018
737956,81555677.0,PAMP S3 MIDI 3x54,3.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.1092,Jan,2018
737961,81555693.0,PAMP S4+ MAXI 4x40,4.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.04822,Jan,2018
737960,81499722.0,PAMP S4 MAXI 3x46,3.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.12599,Jan,2018
737953,81680813.0,PAMP S5 JUNIOR 3X38,3.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.1152,Jan,2018
737829,81680817.0,PAMP S6 4x32,4.00000,1.0,total pampers ,diapers,Pampers,2018-01-01,0.0685,Jan,2018
737995,81689698.0,Pamp Premium S1 2x52 VP,2.00000,1.0,total premium,diapers,Pampers,2018-01-01,,Jan,2018
737994,81689699.0,Pamp Premium S2 2x46 VP,2.00000,1.0,total premium,diapers,Pampers,2018-01-01,,Jan,2018
737936,81629457.0,Pamp Premium S3 4x40,4.00000,1.0,total premium,diapers,Pampers,2018-01-01,0.10333,Jan,2018
737935,81689701.0,Pamp Premium S4 4x34,4.00000,1.0,total premium,diapers,Pampers,2018-01-01,0.12117,Jan,2018
737938,81689908.0,Pamp Premium S5 4x30,4.00000,1.0,total premium,diapers,Pampers,2018-01-01,0.11807,Jan,2018
700062,83733864.0,ALWAYS Classic Normal 16x9,16.00000,1.0,classic,feminine care,Always,2018-01-01,0.12784,Jan,2018
700037,83706279.0,Always Classic Fresh 16x9,16.00000,1.0,classic,feminine care,Always,2018-01-01,0.11003,Jan,2018
738968,83723122.0,Always Classic Night 16X8,16.00000,1.0,classic,feminine care,Always,2018-01-01,0.18422,Jan,2018
702641,83733865.0,ALWAYS CLASSIC MAXI 12x8,12.00000,1.0,classic,feminine care,Always,2018-01-01,0.15593,Jan,2018
700052,83700288.0,ALWAYS U LIGHT 16x10,16.00000,1.0,ultra,feminine care,Always,2018-01-01,0.09367,Jan,2018
700070,83700224.0,ALWAYS U NIGHT 24x7,24.00000,1.0,ultra,feminine care,Always,2018-01-01,0.12769,Jan,2018
700073,83700655.0,ALWAYS U NIGHT ECO 16X14,16.00000,1.0,ultra,feminine care,Always,2018-01-01,0.12005,Jan,2018
700055,83700226.0,ALWAYS U NORMAL 16X10,16.00000,1.0,ultra,feminine care,Always,2018-01-01,0.15484,Jan,2018
700071,83702657.0,ALWAYS U SUPER 20X8,2.00000,1.0,ultra,feminine care,Always,2018-01-01,0.14181,Jan,2018
703990,83746960.0,ALWAYS U SUPER QP 12x30,12.00000,1.0,ultra,feminine care,Always,2018-01-01,,Jan,2018
700049,83746962.0,ALWAYS U SUPER VP 16x16,16.00000,1.0,ultra,feminine care,Always,2018-01-01,,Jan,2018
703984,83734556.0,ALWAYS U LIGHT 12x36 QP,12.00000,1.0,ultra,feminine care,Always,2018-01-01,0.02025,Jan,2018
703983,83734557.0,Always U Normal QP 12x36,12.00000,1.0,ultra,feminine care,Always,2018-01-01,0.07215,Jan,2018
703982,83734554.0,ALWAYS U NIGHT S-ECO 12X26,12.00000,1.0,ultra,feminine care,Always,2018-01-01,0.06045,Jan,2018
703950,83734650.0,ALWAYS U Sens Normal Eco 12X20,12.00000,1.0,ultra,feminine care,Always,2018-01-01,,Jan,2018
703949,83734649.0,ALWAYS U Sens NORMAL 20X10,2.00000,1.0,ultra,feminine care,Always,2018-01-01,,Jan,2018
703948,83734655.0,Always U Sens Night Eco 16x14,16.00000,1.0,ultra,feminine care,Always,2018-01-01,0.00087,Jan,2018
703947,83734654.0,Always U Sens Night 24x7,24.00000,1.0,ultra,feminine care,Always,2018-01-01,0.00117,Jan,2018
703215,83723982.0,Always U Extra Night Eco 15x12,15.00000,1.0,ultra,feminine care,Always,2018-01-01,,Jan,2018
739019,83743361.0,Always U Extra Night 24x6,24.00000,1.0,ultra,feminine care,Always,2018-01-01,,Jan,2018
738083,83740822.0,Always Large Fresh 8X24,8.00000,1.0,liners,feminine care,Always,2018-01-01,,Jan,2018
738082,83740832.0,Always Large 6X26,6.00000,1.0,liners,feminine care,Always,2018-01-01,,Jan,2018
739174,83723158.0,Always Large 4x48,4.00000,1.0,liners,feminine care,Always,2018-01-01,,Jan,2018
738084,83740820.0,Always LONG PLUS 8X24,8.00000,1.0,liners,feminine care,Always,2018-01-01,,Jan,2018
738088,83740823.0,Always Normal Fresh scent 10X30,1.00000,1.0,liners,feminine care,Always,2018-01-01,0.00589,Jan,2018
738087,83740818.0,Always Normal Fresh 15X30,15.00000,1.0,liners,feminine care,Always,2018-01-01,,Jan,2018
703994,83734960.0,Always-PL U Norm 16x8,16.00000,1.0,platinium,feminine care,Always,2018-01-01,0.02833,Jan,2018
703993,83734964.0,Always-PL U Night 20x6,2.00000,1.0,platinium,feminine care,Always,2018-01-01,0.03093,Jan,2018
737824,83739972.0,Always-PL U Sup Eco 10X14,1.00000,1.0,platinium,feminine care,Always,2018-01-01,,Jan,2018
737972,83739973.0,Always-PL U Sup Eco 8X26 QP,8.00000,1.0,platinium,feminine care,Always,2018-01-01,,Jan,2018
703992,83734961.0,Always-PL U Norm Eco 8x16,8.00000,1.0,platinium,feminine care,Always,2018-01-01,0.03606,Jan,2018
737973,83739970.0,Always-PL U Norm Eco 8X30 QP,8.00000,1.0,platinium,feminine care,Always,2018-01-01,,Jan,2018
737974,83739976.0,Always-PL U Night Eco 8X22 QP,8.00000,1.0,platinium,feminine care,Always,2018-01-01,,Jan,2018
703991,83734965.0,Always-PL U Night Eco10x12,1.00000,1.0,platinium,feminine care,Always,2018-01-01,0.04635,Jan,2018
700524,83708814.0,Disc Water Lilly SP 18*20,18.00000,1.0,discreet,feminine care,Discreete,2018-01-01,0.10744,Jan,2018
702514,83702602.0,Disc Normal SP 18*20,18.00000,1.0,discreet,feminine care,Discreete,2018-01-01,0.04644,Jan,2018
703960,83733557.0,Disc Normal QP 8*60,8.00000,1.0,discreet,feminine care,Discreete,2018-01-01,0.06783,Jan,2018
737808,83744500.0,Disc Summer Fresh QP 8*60,8.00000,1.0,discreet,feminine care,Discreete,2018-01-01,,Jan,2018
703972,83733577.0,Disc WaterLily QP 8*60,8.00000,1.0,discreet,feminine care,Discreete,2018-01-01,0.05517,Jan,2018
737785,81442605.0,PANT Serum Oil Therapy 100ml,6.00000,1.0,,hair care,Pantene,2018-01-01,,Jan,2018
738997,81237777.0,PANT COND Aqua Light 200ml,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.01525,Jan,2018
701548,80932741.0,PANT COND CLASSIC 200ml,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.01151,Jan,2018
701550,80932744.0,PANT COND COLOUR 200ml,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.01813,Jan,2018
701576,81054406.0,PANT COND Repair&Protect 200ml,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.02443,Jan,2018
703111,81385479.0,PANT COND Moisture & Renew 200ml,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.01634,Jan,2018
703181,81422068.0,PANT COND Oil Therapy 200ml,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.01509,Jan,2018
703840,81537680.0,PANT COND HAIRFALL 200 ML,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.01113,Jan,2018
701585,80932745.0,PANT COND Silky Shine 200ml,6.00000,1.0,conditioner,hair care,Pantene,2018-01-01,0.01408,Jan,2018
701516,81237760.0,PANT Aqua Light 250ml,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.06007,Jan,2018
701524,81163800.0,PANT CLASSIC 250,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.03781,Jan,2018
